"","id","pop","region"
"1","B001","Belfair","HoodCanal"
"2","B002","Belfair","HoodCanal"
"3","B004","Belfair","HoodCanal"
"4","B005","Belfair","HoodCanal"
"5","B006","Belfair","HoodCanal"
"6","B007","Belfair","HoodCanal"
"7","B008","Belfair","HoodCanal"
"8","B009","Belfair","HoodCanal"
"9","B010","Belfair","HoodCanal"
"10","B011","Belfair","HoodCanal"
"11","B012","Belfair","HoodCanal"
"12","B013","Belfair","HoodCanal"
"13","B014","Belfair","HoodCanal"
"14","B015","Belfair","HoodCanal"
"15","B017","Belfair","HoodCanal"
"16","B018","Belfair","HoodCanal"
"17","B019","Belfair","HoodCanal"
"18","B020","Belfair","HoodCanal"
"19","B021","Belfair","HoodCanal"
"20","B022","Belfair","HoodCanal"
"21","B023","Belfair","HoodCanal"
"22","B024","Belfair","HoodCanal"
"23","B026","Belfair","HoodCanal"
"24","B027","Belfair","HoodCanal"
"25","B028","Belfair","HoodCanal"
"26","B030","Belfair","HoodCanal"
"27","C001","CherryPoint","NorthPS"
"28","C002","CherryPoint","NorthPS"
"29","C003","CherryPoint","NorthPS"
"30","C004re","CherryPoint","NorthPS"
"31","C005re","CherryPoint","NorthPS"
"32","C010re","CherryPoint","NorthPS"
"33","C011","CherryPoint","NorthPS"
"34","C012","CherryPoint","NorthPS"
"35","C013","CherryPoint","NorthPS"
"36","C014","CherryPoint","NorthPS"
"37","C015","CherryPoint","NorthPS"
"38","C016re","CherryPoint","NorthPS"
"39","C017","CherryPoint","NorthPS"
"40","C018re","CherryPoint","NorthPS"
"41","C019","CherryPoint","NorthPS"
"42","C020re","CherryPoint","NorthPS"
"43","C021","CherryPoint","NorthPS"
"44","C022","CherryPoint","NorthPS"
"45","C023re","CherryPoint","NorthPS"
"46","C024","CherryPoint","NorthPS"
"47","C025","CherryPoint","NorthPS"
"48","C027re","CherryPoint","NorthPS"
"49","C028","CherryPoint","NorthPS"
"50","C029re","CherryPoint","NorthPS"
"51","C031","CherryPoint","NorthPS"
"52","C032re","CherryPoint","NorthPS"
"53","C033re","CherryPoint","NorthPS"
"54","C034re","CherryPoint","NorthPS"
"55","C035re","CherryPoint","NorthPS"
"56","C039","CherryPoint","NorthPS"
"57","C040","CherryPoint","NorthPS"
"58","C041re","CherryPoint","NorthPS"
"59","C042re","CherryPoint","NorthPS"
"60","C043re","CherryPoint","NorthPS"
"61","C044re","CherryPoint","NorthPS"
"62","C045","CherryPoint","NorthPS"
"63","C047re","CherryPoint","NorthPS"
"64","C049re","CherryPoint","NorthPS"
"65","C050","CherryPoint","NorthPS"
"66","D001","DumasBay","SouthPS"
"67","D002","DumasBay","SouthPS"
"68","D003","DumasBay","SouthPS"
"69","D004","DumasBay","SouthPS"
"70","D005","DumasBay","SouthPS"
"71","D006","DumasBay","SouthPS"
"72","D007","DumasBay","SouthPS"
"73","D008","DumasBay","SouthPS"
"74","D009","DumasBay","SouthPS"
"75","D010","DumasBay","SouthPS"
"76","D012","DumasBay","SouthPS"
"77","D013","DumasBay","SouthPS"
"78","D014","DumasBay","SouthPS"
"79","D015","DumasBay","SouthPS"
"80","D016","DumasBay","SouthPS"
"81","D017","DumasBay","SouthPS"
"82","D018","DumasBay","SouthPS"
"83","D020","DumasBay","SouthPS"
"84","D021","DumasBay","SouthPS"
"85","D022","DumasBay","SouthPS"
"86","D023","DumasBay","SouthPS"
"87","D024","DumasBay","SouthPS"
