Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PA1_R1_001	33.00778062437712	40.0	150.0	27.27272727272727	45054553.0
PA1_R2_001	32.562904683184286	40.0	150.0	27.27272727272727	45054553.0
PA2_R1_001	33.168682764688526	39.0	150.0	18.181818181818183	30747099.0
PA2_R2_001	32.981144458183934	40.0	150.0	18.181818181818183	30747099.0
PA3_R1_001	37.084178720025974	39.0	150.0	18.181818181818183	33223070.0
PA3_R2_001	36.37047212894793	40.0	150.0	27.27272727272727	33223070.0
PA4_R1_001	34.44211752964843	40.0	150.0	27.27272727272727	31561321.0
PA4_R2_001	33.6671198250544	40.0	150.0	27.27272727272727	31561321.0
PP1_R1_001	52.382774609337154	47.0	150.0	36.36363636363637	91624906.0
PP1_R2_001	52.70431887685716	46.0	150.0	27.27272727272727	91624906.0
PP2_R1_001	42.934615956440425	40.0	150.0	27.27272727272727	42515666.0
PP2_R2_001	42.249591130387984	40.0	150.0	27.27272727272727	42515666.0
PP3_R1_001	39.42706701765272	40.0	150.0	27.27272727272727	41330135.0
PP3_R2_001	39.93033594339408	40.0	150.0	27.27272727272727	41330135.0
PP4_R1_001	47.49742012263515	42.0	150.0	27.27272727272727	69571353.0
PP4_R2_001	48.188547423049336	41.0	150.0	27.27272727272727	69571353.0
WA1_R1_001	37.662933902026964	40.0	150.0	18.181818181818183	39009230.0
WA1_R2_001	37.056723035010464	40.0	150.0	18.181818181818183	39009230.0
WA2_R1_001	39.00546507934728	40.0	150.0	27.27272727272727	39789212.0
WA2_R2_001	38.406594491396284	41.0	150.0	27.27272727272727	39789212.0
WA3_R1_001	37.95221836227534	40.0	150.0	18.181818181818183	45513822.0
WA3_R2_001	37.037440230306416	40.0	150.0	18.181818181818183	45513822.0
WA4_R1_001	37.52634553460369	40.0	150.0	27.27272727272727	40954521.0
WA4_R2_001	37.74967764285928	41.0	150.0	27.27272727272727	40954521.0
WAr_R1_001	27.52742142612739	42.0	150.0	27.27272727272727	15509120.0
WAr_R2_001	27.30236128298509	42.0	150.0	27.27272727272727	15509120.0
WP1_R1_001	39.23510083066952	41.0	150.0	27.27272727272727	50641876.0
WP1_R2_001	39.02327779546207	41.0	150.0	27.27272727272727	50641876.0
WP2_R1_001	43.12620802280177	40.0	150.0	18.181818181818183	41676993.0
WP2_R2_001	42.307271955942504	40.0	150.0	18.181818181818183	41676993.0
WP3_R1_001	43.178061150453026	40.0	150.0	18.181818181818183	42612037.0
WP3_R2_001	42.121254667359885	40.0	150.0	18.181818181818183	42612037.0
WP4_R1_001	42.7926225553949	40.0	150.0	27.27272727272727	46238283.0
WP4_R2_001	42.711090697078326	40.0	150.0	27.27272727272727	46238283.0
WPr_R1_001	40.48771505634735	40.0	150.0	27.27272727272727	58888412.0
WPr_R2_001	39.75990183129827	41.0	150.0	36.36363636363637	58888412.0
