"site","date","daily_mean_temp","daily_max_temp","daily_min_temp","daily_90th","daily_10th","daily_range_temp","daily_corrected_range_temp","gdd","cumulative_gdd"
"GH",2023-01-21,7.52582677165354,8.89,5.39,8.778,6.08,3.5,2.698,2.429,2.429
"GH",2023-01-22,6.96531468531469,8.64,5,8.29,5.546,3.64,2.744,1.918,4.347
"GH",2023-01-23,7.30678571428571,11.15,4.95,8.893,5.59,6.2,3.303,2.2415,6.5885
"GH",2023-01-24,7.96722222222222,9.01,6.43,8.87,6.84,2.58,2.03,2.855,9.4435
"GH",2023-01-25,7.90664335664336,9.01,6.51,8.77,6.694,2.5,2.076,2.732,12.1755
"GH",2023-01-26,8.45972222222222,10.88,6.91,8.97,7.385,3.97,1.585,3.1775,15.353
"GH",2023-01-27,8.95569444444445,11.66,6.66,10.64,7.62,5,3.02,4.13,19.483
"GH",2023-01-28,8.41832061068702,10.17,4.06,9.34,6.86,6.11,2.48,3.1,22.583
"GH",2023-01-29,6.6745045045045,8.84,4.09,8.24,4.92,4.75,3.32,1.58,24.163
"GH",2023-01-30,6.48117117117117,9.19,4.01,7.87,5.1,5.18,2.77,1.485,25.648
"GH",2023-01-31,6.51816666666667,8.17,4.38,7.393,4.897,3.79,2.496,1.145,26.793
"GH",2023-02-01,7.26797101449275,13.5,4.01,10.256,4.84,9.49,5.416,2.548,29.341
"GH",2023-02-02,7.45979166666667,9.93,5.23,8.775,6.316,4.7,2.459,2.5455,31.8865
"GH",2023-02-03,7.48520833333333,8.74,6.28,8.111,6.74,2.46,1.371,2.4255,34.312
"GH",2023-02-04,7.80666666666667,8.39,7.19,8.184,7.57,1.2,0.613999999999999,2.877,37.189
"GH",2023-02-05,7.41291666666667,8.22,6.05,8,6.41,2.17,1.59,2.205,39.394
"GH",2023-02-06,8.14798611111111,8.77,7.37,8.49,7.776,1.4,0.714,3.133,42.527
"GH",2023-02-07,7.95447552447552,9.01,5.44,8.936,5.83,3.57,3.106,2.383,44.91
"GH",2023-02-08,7.56446808510638,10.34,5.02,8.54,6.2,5.32,2.34,2.37,47.28
"GH",2023-02-09,8.14594405594406,9.88,5.92,8.64,6.966,3.96,1.674,2.803,50.083
"GH",2023-02-10,8.25578947368421,15.39,5.08,9.57,5.954,10.31,3.616,2.762,52.845
"GH",2023-02-11,8.693125,14.1,4.17,12.097,5.328,9.93,6.769,3.7125,56.5575
"GH",2023-02-12,8.92814516129032,13.76,4.74,12.091,7.356,9.02,4.735,4.7235,61.281
"GH",2023-02-13,7.24909090909091,11.69,4.04,8.378,5.402,7.65,2.976,1.89,63.171
"GH",2023-02-14,7.32663865546218,13.02,4.06,9.954,5.53,8.96,4.424,2.742,65.913
"GH",2023-02-15,7.7345,11.64,4.43,11.082,5.67,7.21,5.412,3.376,69.289
"GH",2023-02-16,6.97886363636364,8.54,4.48,7.997,5.838,4.06,2.159,1.9175,71.2065
"GH",2023-02-17,7.88992957746479,12.8,4.82,11.028,5.386,7.98,5.642,3.207,74.4135
"GH",2023-02-18,7.81847222222222,8.97,5.46,8.711,6.59,3.51,2.121,2.6505,77.064
"GH",2023-02-19,8.105625,9.76,6.64,8.984,6.796,3.12,2.188,2.89,79.954
"GH",2023-02-20,8.25763888888889,8.99,6.28,8.77,7.64,2.71,1.13,3.205,83.159
"GH",2023-02-21,6.99628099173554,8.44,4.12,8.27,4.82,4.32,3.45,1.545,84.704
"GH",2023-02-22,7.1403125,8.34,4.01,8.105,5.63,4.33,2.475,1.8675,86.5715
"GH",2023-02-23,6.37780487804878,8.27,4.01,7.635,5.32,4.26,2.315,1.4775,88.049
"GH",2023-02-24,5.62728395061728,8.84,4.01,6.84,4.64,4.83,2.2,0.74,88.789
"GH",2023-02-25,6.64429906542056,14.62,4.01,13.258,4.418,10.61,8.84,3.838,92.627
"GH",2023-02-26,6.76595041322314,12.24,4.01,10.57,4.92,8.23,5.65,2.745,95.372
"GH",2023-02-27,5.79696296296296,8.14,4.48,6.322,5.13,3.66,1.192,0.726,96.098
"GH",2023-02-28,6.20859154929577,9.66,4.79,8.735,5.1,4.87,3.635,1.9175,98.0155
"GH",2023-03-01,6.50624113475177,11.93,4.01,10.42,4.51,7.92,5.91,2.465,100.4805
"GH",2023-03-02,6.76978873239437,10.86,4.09,9.788,5.87,6.77,3.918,2.829,103.3095
