V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_3	O42248	2.83e-103	Small ribosomal subunit protein RACK1 (Guanine nucleotide-binding protein subunit beta-2-like 1) (Receptor of activated protein kinase C) (RACK)	Danio rerio (Zebrafish) (Brachydanio rerio)	angiogenesis [GO:0001525]; convergent extension involved in gastrulation [GO:0060027]; negative regulation of translational frameshifting [GO:2001125]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of gastrulation [GO:2000543]; regulation of cell division [GO:0051302]; regulation of establishment of cell polarity [GO:2000114]; regulation of protein localization [GO:0032880]; rescue of stalled ribosome [GO:0072344]	GO:0001525; GO:0005080; GO:0005634; GO:0005737; GO:0005829; GO:0005840; GO:0030178; GO:0032880; GO:0043022; GO:0045182; GO:0051302; GO:0060027; GO:0072344; GO:1990904; GO:2000114; GO:2000543; GO:2001125
Ab_contig_5	Q08013	1.41e-28	NA	NA	NA	NA
Ab_contig_6	P12234	7.35e-24	Solute carrier family 25 member 3 (Phosphate carrier protein, mitochondrial) (PiC) (Phosphate transport protein) (PTP)	Bos taurus (Bovine)	mitochondrial phosphate ion transmembrane transport [GO:1990547]; phosphate ion transmembrane transport [GO:0035435]	GO:0005315; GO:0005739; GO:0005743; GO:0015293; GO:0015317; GO:0035435; GO:0044877; GO:1990547
Ab_contig_9	Q41629	6.12e-28	NA	NA	NA	NA
Ab_contig_13	Q32NG4	1.52e-28	NA	NA	NA	NA
Ab_contig_23	Q9GNE2	6.86e-44	NA	NA	NA	NA
Ab_contig_31	B3EWZ9	1.81e-44	NA	NA	NA	NA
Ab_contig_31	B3EWZ9	9.25e-30	NA	NA	NA	NA
Ab_contig_31	B3EWZ9	1.2e-27	NA	NA	NA	NA
Ab_contig_32	Q641Y2	6.47e-72	NA	NA	NA	NA
Ab_contig_37	Q9D3D9	4.4e-43	NA	NA	NA	NA
Ab_contig_39	Q39613	3.42e-50	NA	NA	NA	NA
